,Respondent,Year,Month,Sales,Total income,Purchases,Salary expense,Utility expense,Miscellaneous expense,Rent expense,Professional fees,Transport expense,Tax expense,Loss from theft,Bank fee,Total expense,Gifts given,Total other income and expenses,Net income,Withdrawal,Retained earnings,Cash,Ar,Equipment,Building,Live stock,Land,Informal loans given,Loans to employees,Total assets,Ap,Informal loan,Long term loan,Short term loan,Total liabilities,Equity
0,4425.0,2021,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200000.0,0.0,1004400.0,0.0,0.0,0.0,200000.0,0.0,1004400.0,0.0,0.0,0.0,0.0,0.0,1004400.0
1,4425.0,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200000.0,0.0,1404400.0,0.0,0.0,0.0,200000.0,0.0,1404400.0,0.0,0.0,0.0,0.0,0.0,1404400.0
2,4425.0,2021,4,19515.0,19515.0,-10416.0,0.0,-280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10696.0,0.0,0.0,8819.0,-2100.0,6719.0,-193281.0,0.0,1404400.0,0.0,0.0,0.0,200000.0,0.0,1411119.0,0.0,0.0,0.0,0.0,0.0,1411119.0
3,4425.0,2021,5,30157.0,30157.0,-6874.0,-2500.0,-480.0,-7202.0,-6000.0,0.0,0.0,0.0,0.0,0.0,-23056.0,0.0,0.0,7101.0,-37500.0,-30399.0,-193177.0,0.0,1404400.0,0.0,0.0,0.0,200000.0,0.0,1411223.0,0.0,0.0,0.0,0.0,0.0,1411223.0
4,4425.0,2021,6,43374.0,43374.0,-4337.0,-4000.0,0.0,0.0,-6000.0,-1795.0,0.0,0.0,0.0,0.0,-16132.0,0.0,0.0,27242.0,0.0,27242.0,-126689.0,6604.0,1754400.0,0.0,0.0,0.0,200000.0,0.0,1834315.0,0.0,0.0,0.0,0.0,0.0,1834315.0
5,4425.0,2021,7,46810.0,46810.0,-8350.0,-2500.0,-420.0,0.0,-3000.0,0.0,0.0,0.0,0.0,0.0,-14270.0,0.0,0.0,32540.0,0.0,32540.0,-70549.0,6604.0,1754400.0,0.0,0.0,0.0,200000.0,0.0,1890455.0,0.0,0.0,0.0,0.0,0.0,1890455.0
6,4425.0,2021,8,31565.0,31565.0,-15300.0,-4000.0,0.0,0.0,-3000.0,0.0,-600.0,0.0,0.0,0.0,-22900.0,0.0,0.0,8665.0,-115818.0,-107153.0,-165702.0,6604.0,1754400.0,0.0,0.0,0.0,200000.0,0.0,1795302.0,0.0,0.0,0.0,0.0,0.0,1795302.0
7,4425.0,2021,9,40415.0,40415.0,-9200.0,-7300.0,-477.0,0.0,0.0,0.0,0.0,-700.0,0.0,0.0,-17677.0,0.0,0.0,22738.0,-61982.0,-39244.0,-133572.5,6604.0,1754400.0,0.0,0.0,0.0,205000.0,0.0,1832431.5,0.0,-5000.0,0.0,0.0,-5000.0,1837431.5
8,4425.0,2021,10,34996.0,34996.0,-3780.0,-4500.0,-386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8666.0,0.0,0.0,26330.0,-17550.0,8780.0,-112042.5,6604.0,1764400.0,0.0,0.0,0.0,205000.0,0.0,1863961.5,750.0,-5000.0,0.0,0.0,-4250.0,1868211.5
9,4425.0,2021,11,54418.0,54418.0,-10660.0,-5500.0,-800.0,-5310.0,0.0,0.0,0.0,-2944.0,0.0,0.0,-25214.0,0.0,0.0,29204.0,-10950.0,18254.0,-68426.5,9992.0,1764400.0,0.0,0.0,0.0,205000.0,0.0,1910965.5,750.0,-7750.0,0.0,0.0,-7000.0,1917965.5
