,Respondent ID,Account report data ID,Account report deposit/withdrawal,Account report amount,Account report data type,Account report date created,debit acc,debit amt,credit acc,credit amt
0,4425,AR00044395,Deposited,1910.0,Account,2021-07-12,cash,1910.0,equity,1910.0
1,4425,AR00229106,Withdrawn,1950.0,Expense,2021-04-28,,,,
2,4425,AR00229107,Withdrawn,280.0,Expense,2021-04-28,,,,
3,4425,AR00229108,Withdrawn,1000.0,Expense,2021-04-28,,,,
4,4425,AR00022776,Withdrawn,2100.0,Account,2021-04-21,withdrawal,2100.0,cash,2100.0
5,4425,AR00229109,Withdrawn,1000.0,Expense,2021-04-28,,,,
6,4425,AR00229110,Withdrawn,750.0,Expense,2021-04-28,,,,
7,4425,AR00229105,Withdrawn,1950.0,Expense,2021-04-28,,,,
8,4425,AR00097234,Deposited,1910.0,Income,2021-04-28,,,,
9,4425,AR00229114,Withdrawn,1000.0,Expense,2021-04-28,,,,
10,4425,AR00229115,Withdrawn,1000.0,Expense,2021-04-28,,,,
11,4425,AR00027569,Deposited,3000.0,Account,2021-05-18,cash,3000.0,equity,3000.0
12,4425,AR00229116,Withdrawn,750.0,Expense,2021-04-28,,,,
13,4425,AR00229111,Withdrawn,600.0,Expense,2021-04-28,,,,
14,4425,AR00229112,Withdrawn,416.0,Expense,2021-05-07,,,,
15,4425,AR00027568,Deposited,3000.0,Account,2021-05-18,cash,3000.0,equity,3000.0
16,4425,AR00133913,Withdrawn,2500.0,Employee Payment,2021-05-11,,,,
17,4425,AR00026526,Withdrawn,2500.0,Account,2021-05-11,withdrawal,2500.0,cash,2500.0
18,4425,AR00027567,Deposited,3000.0,Account,2021-05-18,cash,3000.0,equity,3000.0
19,4425,AR00027566,Deposited,3000.0,Account,2021-05-18,cash,3000.0,equity,3000.0
20,4425,AR00027565,Deposited,7275.0,Account,2021-05-18,cash,7275.0,equity,7275.0
21,4425,AR00029161,Deposited,3000.0,Account,2021-05-25,cash,3000.0,equity,3000.0
22,4425,AR00029630,Withdrawn,35000.0,Account,2021-05-27,withdrawal,35000.0,cash,35000.0
23,4425,AR00029160,Deposited,8228.0,Account,2021-05-25,cash,8228.0,equity,8228.0
24,4425,AR00229113,Withdrawn,1200.0,Expense,2021-06-01,,,,
25,4425,AR00229104,Withdrawn,1460.0,Expense,2021-06-01,,,,
26,4425,AR00032138,Deposited,1780.0,Income,2021-06-08,,,,
27,4425,AR00032139,Deposited,1695.0,Income,2021-06-08,,,,
28,4425,AR00032140,Deposited,2100.0,Income,2021-06-08,,,,
29,4425,AR00127492,Withdrawn,3000.0,Expense,2021-06-08,,,,
30,4425,AR00032151,Deposited,1860.0,Income,2021-06-08,,,,
31,4425,AR00118896,Withdrawn,2500.0,Employee Payment,2021-06-08,,,,
32,4425,AR00032152,Deposited,1300.0,Income,2021-06-08,,,,
33,4425,AR00032156,Deposited,3000.0,Account,2021-06-08,cash,3000.0,equity,3000.0
34,4425,AR00032153,Deposited,1050.0,Income,2021-06-08,,,,
35,4425,AR00033405,Deposited,11465.0,Account,2021-06-12,cash,11465.0,equity,11465.0
36,4425,AR00034358,Deposited,1560.0,Income,2021-06-16,,,,
37,4425,AR00034359,Deposited,2050.0,Income,2021-06-16,,,,
38,4425,AR00034360,Deposited,2110.0,Income,2021-06-16,,,,
39,4425,AR00127656,Withdrawn,1795.0,Expense,2021-06-16,,,,
40,4425,AR00034361,Deposited,1005.0,Income,2021-06-16,,,,
41,4425,AR00034362,Deposited,2135.0,Income,2021-06-16,,,,
42,4425,AR00034366,Deposited,3000.0,Account,2021-06-16,cash,3000.0,equity,3000.0
43,4425,AR00034363,Deposited,1585.0,Income,2021-06-16,,,,
44,4425,AR00127657,Withdrawn,1000.0,Expense,2021-06-16,,,,
45,4425,AR00035797,Deposited,10445.0,Account,2021-06-20,cash,10445.0,equity,10445.0
46,4425,AR00036107,Deposited,1230.0,Income,2021-06-22,,,,
47,4425,AR00036108,Deposited,1440.0,Income,2021-06-22,,,,
48,4425,AR00036109,Deposited,880.0,Income,2021-06-22,,,,
49,4425,AR00038395,Deposited,4945.0,Account,2021-06-28,cash,4945.0,equity,4945.0
50,4425,AR00036110,Deposited,900.0,Income,2021-06-22,,,,
51,4425,AR00127865,Withdrawn,1300.0,Expense,2021-06-22,,,,
52,4425,AR00036112,Deposited,3000.0,Account,2021-06-22,cash,3000.0,equity,3000.0
53,4425,AR00041817,Deposited,2155.0,Income,2021-07-05,,,,
54,4425,AR00038687,Deposited,1300.0,Income,2021-06-28,,,,
55,4425,AR00128330,Withdrawn,1037.0,Expense,2021-06-28,,,,
56,4425,AR00038697,Deposited,1380.0,Income,2021-06-28,,,,
57,4425,AR00038698,Deposited,1500.0,Income,2021-06-28,,,,
58,4425,AR00038699,Deposited,1315.0,Income,2021-06-28,,,,
59,4425,AR00038700,Deposited,1500.0,Income,2021-06-28,,,,
60,4425,AR00038702,Deposited,3000.0,Account,2021-06-28,cash,3000.0,equity,3000.0
61,4425,AR00038857,Deposited,6995.0,Account,2021-06-29,cash,6995.0,equity,6995.0
62,4425,AR00128908,Withdrawn,1000.0,Expense,2021-07-05,,,,
63,4425,AR00041815,Deposited,955.0,Income,2021-07-05,,,,
64,4425,AR00041816,Deposited,1490.0,Income,2021-07-05,,,,
65,4425,AR00128909,Withdrawn,3000.0,Expense,2021-07-05,,,,
66,4425,AR00120635,Withdrawn,1500.0,Employee Payment,2021-07-05,,,,
67,4425,AR00128910,Withdrawn,1300.0,Expense,2021-07-05,,,,
