,index,Asset amount,Asset date acquired,Asset type,Respondent ID,Asset data ID,Asset possesion type,debit acc,debit amt,credit acc,credit amt
0,0,5000.0,2021-10-01,"Computers (laptop, desktop, display, keyboard, mouse)",4425.0,AS00005247,Own,equipment,5000.0,equity,5000.0
1,1,5000.0,2021-10-01,"Computers (laptop, desktop, display, keyboard, mouse)",4425.0,AS00005247,Own,equipment,5000.0,equity,5000.0
2,2,12000.0,2018-12-24,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001087,Own,equipment,12000.0,equity,12000.0
3,3,12000.0,2018-12-24,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001087,Own,equipment,12000.0,equity,12000.0
4,4,12000.0,2018-12-24,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001087,Own,equipment,12000.0,equity,12000.0
5,5,12000.0,2018-12-24,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001087,Own,equipment,12000.0,equity,12000.0
6,6,12000.0,2011-04-15,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001087,Own,equipment,12000.0,equity,12000.0
7,7,200000.0,2021-03-25,"Vehicles (cars, motorbikes, bicycles, truck, bus, tractor…)",4425.0,AS00005320,Own,equipment,200000.0,equity,200000.0
8,8,200000.0,2021-03-25,"Vehicles (cars, motorbikes, bicycles, truck, bus, tractor…)",4425.0,AS00005320,Own,equipment,200000.0,equity,200000.0
9,9,4000.0,2019-04-12,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001095,Own,equipment,4000.0,equity,4000.0
10,10,4000.0,2019-04-12,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001095,Own,equipment,4000.0,equity,4000.0
11,11,4000.0,2019-04-12,"Electrical appliances (fan, vacuum cleaner...)",4425.0,AS00001095,Own,equipment,4000.0,equity,4000.0
12,12,4000.0,2019-04-12,"Electrical appliances (fan, vacuum cleaner...)",4425.0,AS00001095,Own,equipment,4000.0,equity,4000.0
13,13,4000.0,2019-04-12,"Electrical appliances (fan, vacuum cleaner...)",4425.0,AS00001095,Own,equipment,4000.0,equity,4000.0
14,14,4000.0,2019-04-12,"Electrical appliances (fan, vacuum cleaner...)",4425.0,AS00001095,Own,equipment,4000.0,equity,4000.0
15,15,4000.0,2019-04-12,"Electrical appliances (fan, vacuum cleaner...)",4425.0,AS00001095,Own,equipment,4000.0,equity,4000.0
16,16,4000.0,2019-04-12,"Electrical appliances (fan, vacuum cleaner...)",4425.0,AS00001095,Own,equipment,4000.0,equity,4000.0
