,Respondent ID,Expense report data ID,Expense partial payment 2 data ID,Expense partial payment 2 amount,Expense partial payment 2 currency,Expense partial payment 2 transaction type,Expense partial payment 2 date paid,Expense partial payment 2 account data ID,Expense partial payment 2 account,Expense partial payment 2 account report ID,debit acc,debit amt,credit acc,credit amt
0,4425,EX00115403,,,,,,,,,,,,
1,4425,EX00115404,,,,,,,,,,,,
2,4425,EX00115405,,,,,,,,,,,,
3,4425,EX00115416,,,,,,,,,,,,
4,4425,EX00115417,,,,,,,,,,,,
5,4425,EX00115500,,,,,,,,,,,,
6,4425,EX00115499,,,,,,,,,,,,
7,4425,EX00115498,,,,,,,,,,,,
8,4425,EX00115497,,,,,,,,,,,,
9,4425,EX00115418,,,,,,,,,,,,
10,4425,EX00120712,,,,,,,,,,,,
11,4425,EX00120711,,,,,,,,,,,,
12,4425,EX00120710,,,,,,,,,,,,
13,4425,EX00120709,,,,,,,,,,,,
14,4425,EX00120708,,,,,,,,,,,,
15,4425,EX00122590,,,,,,,,,,,,
16,4425,EX00122591,,,,,,,,,,,,
17,4425,EX00124502,,,,,,,,,,,,
18,4425,EX00124501,,,,,,,,,,,,
19,4425,EX00126704,,,,,,,,,,,,
20,4425,EX00126705,,,,,,,,,,,,
21,4425,EX00126706,,,,,,,,,,,,
22,4425,EX00129089,,,,,,,,,,,,
23,4425,EX00129092,,,,,,,,,,,,
24,4425,EX00129090,,,,,,,,,,,,
25,4425,EX00130917,,,,,,,,,,,,
26,4425,EX00133624,,,,,,,,,,,,
27,4425,EX00133625,,,,,,,,,,,,
28,4425,EX00136013,,,,,,,,,,,,
29,4425,EX00138768,,,,,,,,,,,,
30,4425,EX00141817,,,,,,,,,,,,
31,4425,EX00141818,,,,,,,,,,,,
32,4425,EX00141819,,,,,,,,,,,,
33,4425,EX00145605,,,,,,,,,,,,
34,4425,EX00145607,,,,,,,,,,,,
35,4425,EX00145606,,,,,,,,,,,,
36,4425,EX00149968,,,,,,,,,,,,
37,4425,EX00148996,,,,,,,,,,,,
38,4425,EX00158509,,,,,,,,,,,,
39,4425,EX00158520,,,,,,,,,,,,
40,4425,EX00167483,,,,,,,,,,,,
41,4425,EX00167480,,,,,,,,,,,,
42,4425,EX00167481,,,,,,,,,,,,
43,4425,EX00167484,,,,,,,,,,,,
44,4425,EX00167482,,,,,,,,,,,,
45,4425,EX00171420,,,,,,,,,,,,
46,4425,EX00171419,,,,,,,,,,,,
47,4425,EX00171595,,,,,,,,,,,,
48,4425,EX00171594,,,,,,,,,,,,
49,4425,EX00176651,,,,,,,,,,,,
50,4425,EX00176652,,,,,,,,,,,,
51,4425,EX00179994,,,,,,,,,,,,
52,4425,EX00179991,,,,,,,,,,,,
53,4425,EX00179992,,,,,,,,,,,,
54,4425,EX00180026,,,,,,,,,,,,
55,4425,EX00179993,,,,,,,,,,,,
56,4425,EX00180004,,,,,,,,,,,,
57,4425,EX00185666,,,,,,,,,,,,
58,4425,EX00185665,,,,,,,,,,,,
59,4425,EX00185664,,,,,,,,,,,,
60,4425,EX00190022,,,,,,,,,,,,
61,4425,EX00196107,,,,,,,,,,,,
62,4425,EX00199273,,,,,,,,,,,,
63,4425,EX00199275,,,,,,,,,,,,
64,4425,EX00202787,,,,,,,,,,,,
65,4425,EX00202788,,,,,,,,,,,,
66,4425,EX00199274,,,,,,,,,,,,
67,4425,EX00199276,,,,,,,,,,,,
68,4425,EX00207627,,,,,,,,,,,,
69,4425,EX00207629,,,,,,,,,,,,
70,4425,EX00207628,,,,,,,,,,,,
71,4425,EX00214581,,,,,,,,,,,,
72,4425,EX00214250,,,,,,,,,,,,
73,4425,EX00218754,,,,,,,,,,,,
74,4425,EX00218755,,,,,,,,,,,,
75,4425,EX00220023,,,,,,,,,,,,
76,4425,EX00224127,,,,,,,,,,,,
77,4425,EX00225353,,,,,,,,,,,,
78,4425,EX00225354,,,,,,,,,,,,
79,4425,EX00229100,,,,,,,,,,,,
80,4425,EX00229099,,,,,,,,,,,,
81,4425,EX00229102,,,,,,,,,,,,
82,4425,EX00229101,,,,,,,,,,,,
83,4425,EX00233720,,,,,,,,,,,,
84,4425,EX00233719,,,,,,,,,,,,
85,4425,EX00238078,,,,,,,,,,,,
86,4425,EX00238077,,,,,,,,,,,,
87,4425,EX00238076,,,,,,,,,,,,
88,4425,EX00253155,,,,,,,,,,,,
89,4425,EX00256323,,,,,,,,,,,,
90,4425,EX00253154,,,,,,,,,,,,
91,4425,EX00256322,,,,,,,,,,,,
92,4425,EX00256321,,,,,,,,,,,,
93,4425,EX00256319,,,,,,,,,,,,
94,4425,EX00256320,,,,,,,,,,,,
95,4425,EX00269047,,,,,,,,,,,,
96,4425,EX00264474,,,,,,,,,,,,
97,4425,EX00263873,,,,,,,,,,,,
98,4425,EX00264555,,,,,,,,,,,,
99,4425,EX00268394,,,,,,,,,,,,
100,4425,EX00271664,,,,,,,,,,,,
101,4425,EX00273096,,,,,,,,,,,,
102,4425,EX00273097,,,,,,,,,,,,
103,4425,EX00324998,,,,,,,,,,,,
104,4425,EX00338939,,,,,,,,,,,,
105,4425,EX00324992,,,,,,,,,,,,
106,4425,EX00324996,,,,,,,,,,,,
107,4425,EX00338940,,,,,,,,,,,,
108,4425,EX00342441,,,,,,,,,,,,
109,4425,EX00342443,,,,,,,,,,,,
110,4425,EX00342442,,,,,,,,,,,,
111,4425,EX00342445,,,,,,,,,,,,
112,4425,EX00342444,,,,,,,,,,,,
113,4425,EX00346794,,,,,,,,,,,,
114,4425,EX00351505,,,,,,,,,,,,
115,4425,EX00351504,,,,,,,,,,,,
116,4425,EX00351516,,,,,,,,,,,,
117,4425,EX00351517,,,,,,,,,,,,
118,4425,EX00351508,,,,,,,,,,,,
119,4425,EX00357544,,,,,,,,,,,,
120,4425,EX00357545,,,,,,,,,,,,
121,4425,EX00357543,,,,,,,,,,,,
122,4425,EX00357546,,,,,,,,,,,,
123,4425,EX00360106,,,,,,,,,,,,
124,4425,EX00360104,,,,,,,,,,,,
125,4425,EX00360105,,,,,,,,,,,,
126,4429,EX00109643,,,,,,,,,,,,
127,4429,EX00113786,,,,,,,,,,,,
128,4429,EX00113787,,,,,,,,,,,,
129,4429,EX00113788,,,,,,,,,,,,
130,4429,EX00121343,,,,,,,,,,,,
131,4429,EX00121342,,,,,,,,,,,,
132,4429,EX00134954,,,,,,,,,,,,
133,4429,EX00134955,,,,,,,,,,,,
134,4429,EX00134956,,,,,,,,,,,,
135,4429,EX00139764,,,,,,,,,,,,
136,4429,EX00139765,,,,,,,,,,,,
137,4429,EX00152884,,,,,,,,,,,,
138,4429,EX00152885,,,,,,,,,,,,
139,4429,EX00152886,,,,,,,,,,,,
140,4429,EX00162684,,,,,,,,,,,,
141,4429,EX00162685,,,,,,,,,,,,
142,4429,EX00162686,,,,,,,,,,,,
143,4429,EX00162689,,,,,,,,,,,,
144,4429,EX00162687,,,,,,,,,,,,
