,Respondent ID,Income source data ID,Income source sub-type,Income report data ID,Income report income source name,Income report amount,Income report expected amount,Income report date received,Income report transaction type,Income report payment type,debit acc,debit amt,credit acc,credit amt
0,4425,IS00005780,AD - Printing / photocopying OT,IN00116879,Income Source 1,1910.0,,2021-04-12,,,Cash,1910.0,Sales,1910.0
1,4425,IS00005780,AD - Printing / photocopying OT,IN00116837,Income Source 1,1465.0,,2021-04-13,,,Cash,1465.0,Sales,1465.0
2,4425,IS00005780,AD - Printing / photocopying OT,IN00116838,Income Source 1,1910.0,,2021-04-14,,,Cash,1910.0,Sales,1910.0
3,4425,IS00005780,AD - Printing / photocopying OT,IN00116839,Income Source 1,815.0,,2021-04-15,,,Cash,815.0,Sales,815.0
4,4425,IS00005780,AD - Printing / photocopying OT,IN00116840,Income Source 1,695.0,,2021-04-16,,,Cash,695.0,Sales,695.0
5,4425,IS00005780,AD - Printing / photocopying OT,IN00116841,Income Source 1,1235.0,,2021-04-18,,,Cash,1235.0,Sales,1235.0
6,4425,IS00005780,AD - Printing / photocopying OT,IN00116842,Income Source 1,1250.0,,2021-04-19,,,Cash,1250.0,Sales,1250.0
7,4425,IS00005780,AD - Printing / photocopying OT,IN00116895,Income Source 1,1910.0,,2021-04-22,,,Cash,1910.0,Sales,1910.0
8,4425,IS00005780,AD - Printing / photocopying OT,IN00116880,Income Source 1,815.0,,2021-04-23,,,Cash,815.0,Sales,815.0
9,4425,IS00005780,AD - Printing / photocopying OT,IN00116881,Income Source 1,695.0,,2021-04-24,,,Cash,695.0,Sales,695.0
10,4425,IS00005780,AD - Printing / photocopying OT,IN00116882,Income Source 1,1235.0,,2021-04-26,,,Cash,1235.0,Sales,1235.0
11,4425,IS00005780,AD - Printing / photocopying OT,IN00116894,Income Source 1,1250.0,,2021-04-27,,,Cash,1250.0,Sales,1250.0
12,4425,IS00005780,AD - Printing / photocopying OT,IN00124413,Income Source 1,1350.0,,2021-04-28,,,Cash,1350.0,Sales,1350.0
