,Respodent,Year,Month,Cash,Cash Change,date,Firm ID,Class
0,4425.0,2021,2,-200000.0,0.0,2021-02-28,DD-ET-1930,Strong
1,4425.0,2021,3,-200000.0,0.0,2021-03-31,DD-ET-1930,Strong
2,4425.0,2021,4,-193281.0,6719.0,2021-04-30,DD-ET-1930,Strong
3,4425.0,2021,5,-193177.0,104.0,2021-05-31,DD-ET-1930,Strong
4,4425.0,2021,6,-126689.0,66488.0,2021-06-30,DD-ET-1930,Strong
5,4425.0,2021,7,-70549.0,56140.0,2021-07-31,DD-ET-1930,Strong
6,4425.0,2021,8,-165702.0,-95153.0,2021-08-31,DD-ET-1930,Strong
7,4425.0,2021,9,-133572.5,32129.5,2021-09-30,DD-ET-1930,Strong
8,4425.0,2021,10,-112042.5,21530.0,2021-10-31,DD-ET-1930,Strong
9,4425.0,2021,11,-68426.5,43616.0,2021-11-30,DD-ET-1930,Strong
10,4425.0,2021,12,-4693.5,63733.0,2021-12-31,DD-ET-1930,Strong
11,4425.0,2022,1,50216.5,54910.0,2022-01-31,DD-ET-1930,Strong
12,4425.0,2022,2,102509.5,52293.0,2022-02-28,DD-ET-1930,Strong
13,4425.0,2022,3,285739.5,183230.0,2022-03-31,DD-ET-1930,Strong
14,4425.0,2022,4,319499.5,33760.0,2022-04-30,DD-ET-1930,Strong
15,4425.0,2022,5,321389.5,1890.0,2022-05-31,DD-ET-1930,Strong
16,4425.0,2022,6,321389.5,0.0,2022-06-30,DD-ET-1930,Strong
17,4429.0,2021,1,-150000.0,0.0,2021-01-31,AA-KG-SA-1376,Strong
18,4429.0,2021,4,-58927.0,91073.0,2021-04-30,AA-KG-SA-1376,Strong
19,4429.0,2021,5,139523.0,198450.0,2021-05-31,AA-KG-SA-1376,Strong
20,4429.0,2021,6,765317.0,625794.0,2021-06-30,AA-KG-SA-1376,Strong
21,4429.0,2021,7,880779.4,115462.40000000002,2021-07-31,AA-KG-SA-1376,Strong
22,4429.0,2021,8,966445.4,85666.0,2021-08-31,AA-KG-SA-1376,Strong
23,4429.0,2021,9,1016064.4,49619.0,2021-09-30,AA-KG-SA-1376,Strong
24,4429.0,2021,10,1006724.4,-9340.0,2021-10-31,AA-KG-SA-1376,Strong
25,4429.0,2021,11,931842.4,-74882.0,2021-11-30,AA-KG-SA-1376,Strong
26,4429.0,2021,12,1009718.4,77876.0,2021-12-31,AA-KG-SA-1376,Strong
27,4429.0,2022,1,976218.4,-33500.0,2022-01-31,AA-KG-SA-1376,Strong
28,4429.0,2022,2,1023268.4,47050.0,2022-02-28,AA-KG-SA-1376,Strong
29,4429.0,2022,3,1041483.4,18215.0,2022-03-31,AA-KG-SA-1376,Strong
30,4429.0,2022,4,1095283.4,53799.99999999988,2022-04-30,AA-KG-SA-1376,Strong
31,4431.0,2021,3,-50000.0,0.0,2021-03-31,AA-KG-SA-1495,Poor
32,4431.0,2021,4,-53320.0,-3320.0,2021-04-30,AA-KG-SA-1495,Poor
33,4431.0,2021,5,-70020.0,-16700.0,2021-05-31,AA-KG-SA-1495,Poor
34,4431.0,2021,6,333980.0,404000.0,2021-06-30,AA-KG-SA-1495,Poor
